PdDistrict,Prostitution,Vehicle Theft,Total crimes
BAYVIEW,11,2121,15739
CENTRAL,70,1193,13622
INGLESIDE,5,2319,14008
MISSION,713,2063,21163
NORTHERN,581,1879,18975
PARK,2,1207,8219
RICHMOND,15,1081,7692
SOUTHERN,18,1426,25692
TARAVAL,10,1665,11329
TENDERLOIN,527,371,12737
